Quarter,Detached Property,Semi-Detached Property,Terrace Property,Apartment Property
2005 Q1,"160,429","104,031","82,022","100,738"
2005 Q2,"169,687","109,617","83,227","97,660"
2005 Q3,"180,697","115,048","89,825","102,237"
2005 Q4,"185,324","119,854","93,128","105,333"
2006 Q1,"188,669","123,416","96,062","111,145"
2006 Q2,"201,644","135,697","108,063","117,168"
2006 Q3,"222,695","150,408","121,910","133,113"
2006 Q4,"245,252","168,931","137,713","152,563"
2007 Q1,"267,678","186,864","154,256","168,111"
2007 Q2,"305,404","206,097","160,884","179,936"
2007 Q3,"332,718","209,688","164,232","179,542"
2007 Q4,"314,061","198,459","157,828","176,930"
2008 Q1,"285,012","185,214","145,721","172,588"
2008 Q2,"265,410","177,815","133,949","164,944"
2008 Q3,"237,370","157,733","123,962","149,309"
2008 Q4,"224,760","143,250","111,354","136,028"
2009 Q1,"198,957","130,838","103,678","123,453"
2009 Q2,"204,236","132,443","103,329","122,809"
2009 Q3,"204,150","132,387","104,010","123,823"
2009 Q4,"207,191","133,479","102,886","120,972"
2010 Q1,"205,307","127,129","95,451","117,824"
2010 Q2,"201,922","128,936","92,934","116,218"
2010 Q3,"202,034","125,927","90,124","115,882"
2010 Q4,"189,961","120,574","84,997","101,364"
2011 Q1,"184,006","114,346","79,991","102,214"
2011 Q2,"176,437","114,662","79,621","97,074"
2011 Q3,"178,981","111,763","76,495","96,255"
2011 Q4,"175,236","108,931","73,925","91,486"
2012 Q1,"162,141","105,860","67,865","81,648"
2012 Q2,"163,200","102,095","69,838","85,139"
2012 Q3,"157,938","100,674","68,018","79,274"
2012 Q4,"153,053","98,549","66,252","79,297"
2013 Q1,"152,823","97,337","63,755","73,121"
2013 Q2,"156,013","97,504","65,853","74,616"
2013 Q3,"157,931","99,945","67,648","74,224"
2013 Q4,"157,398","99,875","68,263","79,974"
2014 Q1,"159,004","102,054","69,893","79,394"
2014 Q2,"164,697","105,351","72,170","81,723"
2014 Q3,"165,945","107,582","73,904","85,423"
2014 Q4,"169,123","109,038","74,778","86,727"
2015 Q1,"168,049","109,217","75,454","87,387"
2015 Q2,"173,147","112,980","77,196","91,296"
2015 Q3,"177,887","115,958","80,115","93,018"
2015 Q4,"180,308","115,467","81,625","93,433"
2016 Q1,"180,599","113,947","81,538","97,810"
2016 Q2,"183,812","119,615","85,686","100,613"
